,text,Radnja,Rezija,Gluma,Muzika,Opsti utisak film,Opsti utisak komentar,Specijalni efekti
128,9/10 bez sumnje.,None,None,None,None,Positive,None,None
129,"Nisam ljubitelj ni stripa ni filma.. ali mogu samo da kažem da mi se Brendon činio savršenim za ulogu a ne ovaj.. ali tako je na prvi pogled, možda grešim!",None,None,Neutral,None,Negative,None,None
134,"Vulgarno ali i dalje smešno. Uvek kažem neću da gledam to sr..nje ali nikad ne izdržim "")",None,None,None,None,Positive,None,None
135,"Dobar film, dobro uklopljen sa prethodnim delovima, priča ima smisla, nema preterivanja. Ispunjena očekivanja",Positive,None,None,None,Positive,None,None
136,"Najobičnija papazjanija događaja, likova i ideja.. Samo Hollywood i njegova žeđ za novcem može nastaviti ovakvu nekrofiliju nad franšizom koju smo nekad voleli (računam T1 i T2)!!!",None,None,None,None,Negative,None,None
137,"Amaterski scenario, dobri vizuelni efekti i to je sve. Potencijal za dobar film, ali neiskorišćen.",Negative,None,None,None,Neutral,None,Positive
138,"Nije loš film, vredi pogledati.",None,None,None,None,Positive,None,None
139,Sinoć gledao. Nije loše ali nekako mi ravno. Nema onu čar starih Mad Max filmova. Nešto mi tu fali. Ipak solidna sedmica.,None,None,None,None,Neutral,None,None
140,veću glupost skoro nisam gledao,None,None,None,None,Negative,None,None
141,Razočaranje totalno. Još kad pomislim da sam hteo da vodim curu na to. Ostavila bi me istog momenta ;),None,None,None,None,Negative,None,None
142,"Odličan film, svaka preporuka...",None,None,None,None,Positive,None,None
143,Odličan...,None,None,None,None,Positive,None,None
144,Odličan film.,None,None,None,None,Positive,None,None
147,Nije dobar kao prvi deo ali svejedno je dovoljno dobar.,None,None,None,None,Positive,None,None
148,Žestoko i brzo kao što se i očekivalo. Definitivno akcioni film godine i lep oproštaj od Pola.,None,None,None,None,Positive,None,None
149,Nije bilo nijednog dosadnog momenta a scena na kraju je zaista lepo osmišljena. Poslednjih 10 minuta je bilo srceparajuće. Zamalo suzu da pustim...,None,None,None,None,Positive,None,None
150,Ludilo i prženje na sve strane. Za 10 dana prešao 800 miliona dolara. Sigurno će preći milijardu.,None,None,None,None,Positive,None,None
151,Sinoć gledala. Baš sam se razočarala. Nekako sve bledunjavo i glumci totalno neharizmatični. Montevideo je bio mnogo bolji.,None,None,Negative,None,Negative,None,None
152,Koje s..nje od filma. Dosadno i nezanimljivo a riba nije nimalo sexy,None,None,None,None,Negative,None,None
153,"Ne bih se složio, glumica je vrlo seksi. Film je promašaj, previše mazohizma i sadizma, ali nije loše pogledati.",None,None,Neutral,None,Negative,None,None
154,Očekivao sam malo više priče o dešifrovanju a malo manje njegove lične drame i problema homoseksualaca iz tog vremena.,Negative,None,None,None,None,None,None
155,Odličan film. Benedikt je sjajan a i ostali su jako dobri.,None,None,Positive,None,Positive,None,None
156,Jedan od najboljih filmova ove godine,None,None,None,None,Positive,None,None
157,"Odličan film. Obavezno gledajte. Čovek koji je spasao svet od produžetka WWII, i kako je stradao. Pobedom nad nemačkom Enigmom dobijen je brže i efikasnije WWII.",None,None,None,None,Positive,None,None
158,Preporuka. Odličan film.,None,None,None,None,Positive,None,None
159,"Početak obećavajući, nakon toga dosada za desetku!",None,None,None,None,Negative,None,None
160,Ovde svaki sledeći sve gori. Zašto kvariti utisak koji je napravio prvi film.,None,None,None,None,Negative,None,None
161,dooobar,None,None,None,None,Positive,None,None
164,"Kristijan Bejl je dobar kao i uvek, ima čovek harizmu ali ovaj Ramzes je katastrofa. Deluje kao neki trandža a ne jedan od najvećih faraona u istoriji.",None,None,Positive,None,None,None,None
166,Juče pogledao film. Dok je drugi smorio s dužinom ovde su stvarno mogli malo duže. Ovako deluje nedovršeno.,None,None,None,None,Neutral,None,None
169,Pogledao juče i prilično mi je bolji od 2. dela.,None,None,None,None,Positive,None,None
170,Da i meni se svideo. Ima više duha i emocija nego drugi deo koji mi je baš bio dosadan.,None,None,None,None,Positive,None,None
172,Malo drugačiji zaplet. Sasvim solidan triler ali ne treba očekivati ništa spektakularno.,None,None,None,None,Positive,None,None
173,Ovaj lik posle taken prvi deo nikako da snimi dobar film. Razvučeno i dosadno ...,None,None,None,None,Negative,None,None
174,Ništa posebno. Volim Liama ali imao je i boljih filmova.,None,None,Positive,None,Negative,None,None
176,Jako dobar. Ovo vredi još jednom pogledati.,None,None,None,None,Positive,None,None
177,Ovo se svidelo čak i mojoj ženi a ona baš ne voli fantastiku. Jedva sam je dovukao u bioskop :),None,None,None,None,Positive,None,None
178,Film je dugačak ali uopšte se ne primeti. Ni na trenutak nije dosadno. Vizuelni efekti i soundtrack su fantastični. Jaka 8 po mom mišljenju .,None,None,None,Positive,Positive,None,Positive
179,Moram priznati da sam više očekivao. Početak malo razvučen ali ok. Posle je bilo zanimljivo sve do momenta kad se prešlo malo na fantaziju. Tu mi je film malo pao. Po meni 7,None,None,None,None,Neutral,None,None
180,Posle ovog filma čovek baš shvati kako vreme brzo prolazi,None,None,None,None,Positive,None,None
181,"Ovo je jedan od najboljih filmova koje sam ja gledala, najtoplije preporučujem svima",None,None,None,None,Positive,None,None
183,"Film onako, ništa posebno, mlak početak, nekoliko nelogičnosti, sve kao da mu fali nešto. Loša kopija Odiseje u svemiru, moje mišljenje. Ocena 6.",None,None,None,None,Neutral,None,None
184,Još jedan dobar film. Ne volim ratne ali ovaj mi je stvarno bio dobar.,None,None,None,None,Positive,None,None
185,Iznenadio me ovaj film. Krenulo je prilično mlako i već sam se pitao zašto ima toliko dobru ocenu ali onda sam u drugoj polovini filma shvatio zašto je to tako :).,None,None,None,None,Positive,None,None
186,Film koji vredi pogledati!,None,None,None,None,Positive,None,None
187,Denzel rastura. Jedva čekam da vidim Kijanu šta je uradio sa John Wickom,None,None,Positive,None,None,None,None
188,"Početak odličan, malo kvari utisak druga polovina filma ali sve u svemu jedan od boljih ove godine.",None,None,None,None,Positive,None,None
189,"Denzele, Denzele... Šta ti bi da snimiš ovo? Još i preporuke... kukuuuu",None,None,Neutral,None,Negative,None,None
190,KATASTROFA!!!,None,None,None,None,Negative,None,None
191,Mnogo nelogičnosti ali ipak gledljiv film. Ako se isključi mozak čak zanimljiv ...,None,None,None,None,Neutral,None,None
193,Dokle više. Zešće su smorili.,None,None,None,None,Negative,None,None
195,Film je totalno ludilo. Davno se nisam tako zabavio.,None,None,None,None,Positive,None,None
196,Nije mi baš jasno što se masa toliko loži na ovo. Osrednji film,None,None,None,None,Neutral,None,None
197,"Odličan film. 5+ Ispravka: radnja filma nije u 31 veku već danas, samo mnogo daleko.",None,None,None,None,Positive,None,None
198,Rok na steroidima ali baš loš film. Malo bolji od prethodnog herkula ove godine,None,None,None,None,Negative,None,None
199,Užas. Kome je ovo smešno nije mi jasno,None,None,None,None,Negative,None,None
200,Koje sr.nje od filma,None,None,None,None,Negative,None,None
201,Konačno jedan dobar Sandlerov film,None,None,Positive,None,Positive,None,None
202,Odličan. Majmuni u filmu bolje glume od ljudi.,None,None,Positive,None,Positive,None,None
203,Jedan od retkih filmova u poslednje vreme koji sam odgledao sa pažnjom. Dobar film za sve koji vole onu pravu naučnu fantastiku.,None,None,None,None,Positive,None,None
204,Interesantan film. Malo drugačiji pogled na poznatu bajku. Anđelini je lik potpuno legao.,None,None,Positive,None,Positive,None,None
205,Ajoj gluposti. Ima li neka dobra komedija u poslednje vreme,None,None,None,None,Negative,None,None
206,Dosada. Lik ceo film priča telefonom.,None,None,None,None,Negative,None,None
207,Simpatična komedijica. Kameron matora ali zgodna. Stvarno ne vidim zašto se muškarci lože na tu Kejt Apton.,None,None,Neutral,None,Positive,None,None
208,Neobičan ali dobar film,None,None,None,None,Positive,None,None
209,Jel neko gledao ovo. Čuo da ga hvale ali meni je negledljiv,None,None,None,None,Negative,None,None
210,Jedino što je stvarno ubijeno u filmu jeste 117 minuta,None,None,None,None,Negative,None,None
211,Prva polovina filma deluje kao tipično američko proseravanje ali posle kad se zakuva film postaje dobar.,None,None,None,None,Positive,None,None
212,"Za ljubitelje dobrog akcionog filma, prava poslastica.",None,None,None,None,Positive,None,None
213,Vrlo interesantan film. Vizuelno prelepo urađen. Određeni momenti podsećaju na odiseju 2001. Vredi pogledati,None,None,None,None,Positive,None,Positive
214,Rusel odličan kao i uvek a Ema Votson bolje da se drži Hari Potera. Stvarno nema neki glumački raspon.,None,None,Neutral,None,None,None,None
216,300 na vodi. Mnogo nasilja i akcije i dobre sex scene ali ništa novo,None,None,None,None,Neutral,None,None
217,Volim ovaj tip filmova ali baš me nervira ovo beskrupulozno iskorišćavanje franšize. Zašto se ovo uopšte zove 300. Za njih 300 nisu završili u prvom delu.,None,None,None,None,Positive,None,None
218,Jedino što glume ova dvojica ali film realno nije ništa posebno.,None,None,Positive,None,Neutral,None,None
219,Odličan je. Mada malo lepši mi je bio prvi deo.,None,None,None,None,Positive,None,None
220,Super. Volim kad naši prave ovakve filmove. Da nije na srpskom ladno može proći kao strani. Lepa promena.,None,None,None,None,Positive,None,None
221,"Dobar film, samo baš dugo traje. Treba izdržati 3 sata",None,None,None,None,Positive,None,None
222,Leonardo odličan. Glavni kandidat za oskara. Jeste dugačak film ali vredi pogledati. Kako neki ljudi lako dođu do velikog novca pa to je neverovatno,None,None,Positive,None,Positive,None,None
224,Loodilo od filma. Čujem da ima i verzija od 4 sata,None,None,None,None,Positive,None,None
225,"film je odličan. ali glavni lik uopšte nije ""lako zaradio lovu"", kako misle raniji komentatori... Tip ima genijalnost i žvaku za prodaju deonica, ali i kršili su zakon kako je to bilo moguće u to vreme... sve u svemu, priča istinita i inspirativna za film!",None,None,None,None,Positive,None,None
226,Gledao juče. Ovaj 3D mi se uopšte ne sviđa. Sve mi nešto suviše mračno i pomalo mutno. Ne znam da li zbog lošeg kvaliteta naočara ili je to baš tako snimano ali baš pokvari utisak.,None,None,None,None,Negative,None,None
227,Uh baš mnogo sam očekivao od ovoga ali prvi deo mi je ipak bio bolji. Mnogo akcije i to bespotrebno razvučene.,None,None,None,None,Negative,None,None
228,"Koja navala. Nikad nisam video ovakvu gužvu u bioskopu. Film je odličan, preporučujem.",None,None,None,None,Positive,None,None
229,Uh nešto su mi sporo prošla ova 3 sata. Ono sa Šmaugom je baš razvučeno. Sad se pitam da li ću gledati treći deo u bioskopu.,None,None,None,None,Negative,None,None
230,Šta pričate ljudi meni je film bio odličan. Akcije taman koliko treba. Nadam se i treći deo da će biti u istom stilu.,None,None,None,None,Positive,None,None
231,"Koji smor od filma. Samo sam čekao kraj. Priča bezveza, likovi bezveze. Ovo mi liči na ono kako modni kreatori zamišljaju sci fi. Užas.",Negative,None,None,None,Negative,None,None
232,Prvih pola sata i nije tako tipično američki predvidljivo dosadno,None,None,None,None,Neutral,None,None
233,Meni je prvi bio bolji. Nemam pojma čemu toliko pirotehnike kao da je rat zvezda u pitanju. Očekivao sam više skandinavske mitologije a manje fantastike,None,None,None,None,Neutral,None,None
234,Definitivno je prvi bolji. Kenet Brana je napravio ozbiljniji film a ovo je za decu. Kao naučna fantastika za decu.,None,None,None,None,Negative,None,None
235,Film je žešće smaranje. Više kao crtani film. Par puta se nasmejete na silu i to je to. Emotivno vas uopšte ne angažuje. Kao i pirati s kariba. Verbinskom bolje idu animirani filmovi.,None,Negative,None,None,Negative,None,None
236,Odličan film. Ne volim filmove o formuli jedan i trkama ali ovde mi to uopšte nije bilo problem. Preporuka :),None,None,None,None,Positive,None,None
237,Mnogo dobar film.,None,None,None,None,Positive,None,None
238,Mislila sam da Hemsvort samo dobro izgleda ali sad vidim da zna i da glumi :),None,None,Positive,None,None,None,None
239,"Sve preporuke za film. Jako dobra priča bazirana na stvarnim događajima, prikazuje takmičarski duh, rizik sporta koji kod nas uopšte nije popularan a jedan je od najrizičnijih, naročito u to vreme. Emocije, radnja, duh, napetost…. sve u jednom. Sve preporuke !",Positive,None,None,None,Positive,None,None
240,Stvarno ne znam otkud ovolika frka oko ovog filma. Scenografija u svemiru lepa ali po meni ceo film je ravna linija,None,None,None,None,Negative,None,Positive
241,Početak je možda malo lošiji ali posle postane dobro. Ipak prvi deo mi je bio malo bolji.,None,None,None,None,Neutral,None,None
242,"Vredi pogledati, dobra drama. Šta je sve čovek spreman da uradi da bi pronašao dete",None,None,None,None,Positive,None,None
243,Odličan ali malo težak film. Nije baš za popodnevni ručak ali za subotu uveče taman.,None,None,None,None,Positive,None,None
244,Odličan ! ! !,None,None,None,None,Positive,None,None
245,"Ne volim kada je žrtva u filmu dete ili porodica, jako me to uznemiruje.",None,None,None,None,Neutral,None,None
246,"Legao sam umoran i pospan, film sam pustio iz navike i odgledao do kraja. Film drži pažnju... Da ne preteram dobra osmica.",None,None,None,None,Positive,None,None
247,Odličan film. Preporučujem svima .,None,None,None,None,Positive,None,None
248,Nije mi jasno što se ljudi lože na ovaj tip filmova. Svi su na isti fazon,None,None,None,None,Negative,None,None
249,Nije ni tako loš kao što pričaju. Zanimljivo videti jednu takvu životnu priču ako ništa drugo,None,None,None,None,Positive,None,None
250,Ne znam. Meni Ešton Kučer nije uopšte ubedljiv kao Džobs. Mislim da su mogli naći mnogo boljeg glavnog glumca.,None,None,Neutral,None,None,None,None
251,Ovaj film deluje kao neki trip glavnih likova. Nije mi se baš svideo.,None,None,None,None,Negative,None,None
252,Kakva bljuvotina od filma. Baš nijednom da nasmeje za sat vremena. Bačena 2 sata života...,None,None,None,None,Negative,None,None
253,Ne mogu da kažem da je film dosadan ali prvi je definitivno bio bolji,None,None,None,None,Neutral,None,None
254,Najbolje ekranizovana manga do sada. Vidi se da je evropljanin (Del Toro) iza toga. Sve je kako treba i definitivno je bolje od transformersa koji su prava američka bljuvotina.,None,Positive,None,None,Positive,None,None
255,Simpatična komedijica. Sandri više leže ove komedijice nego ozbiljni filmovi.,None,None,Positive,None,Positive,None,None
256,"Mnogo dobar muvi, dragica i ja oduševljeni",None,None,None,None,Positive,None,None
257,Jedna od retkih komedija u poslednje vreme da je uspela da me nasmeje.,None,None,None,None,Positive,None,None
258,Sinoć gledala u bioskopu. Odličan je :),None,None,None,None,Positive,None,None
259,Dženifer odlično izgleda nema šta ;),None,None,Neutral,None,None,None,None
260,Dobar. Sasvim drugačiji od tipičnih holivudskih filmova. Pravi hardcore sci-fi,None,None,None,None,Positive,None,None
261,Koga interesuje priča o volverinu a manje o ostalim mutantima preporučujem gledanje,None,None,None,None,Positive,None,None
262,Priznajem više sam očekivao od ovog. Dobro Džekmenu leži ta uloga ali nikako da potrefe pravu stvar :(,None,None,Positive,None,Negative,None,None
263,"Kakve gluposti oni nama uvaljuju. Već viđeno, samo malo drugačije upakovano",None,None,None,None,Negative,None,None
264,Užas. Počeo da gledam pa nisam izdržao. Koji man in black rip.,None,None,None,None,Negative,None,None
265,Koje s....e. Ovo je još gore od olimpusa. Zašto uvek moraju da snime i da puste 2 ista filma u istom periodu.,None,None,None,None,Negative,None,None
266,Zanimljivo videti malo google iznutra ali nije baš smešno. Još jedna neuspela komedija ali definitivno je lepo raditi u google-u.,None,None,None,None,Negative,None,None
267,Užas. Apsolutno nikakve originalnosti. Kao da se ništa nije promenilo u horor žanru za 20 godina. Deluje smešno a ne strašno,None,None,None,None,Negative,None,None
268,"Jurnjava, puno akcije i uopšte ni u jednom trenutku nije dosadno a scena u kojoj se Rok i Dizel bore protiv ogromnog negativca je scena zbog koje pravi ljubitelji akcije moraju pogledati film :)",None,None,Neutral,None,Positive,None,None
269,Film je ludilo. Dobro možda su malo preterali sa akcijama ali je svejedno zabavan,None,None,None,None,Positive,None,None
270,Baš me nije nešto oduševio. Ovo je više jedan dugački spot nego film. Nekako sve se odvija previše brzo i teško se vezati za likove.,None,None,None,None,Negative,None,None
271,Ništa posebno. Sve je šareno i vizuelno lepo ali to je sve. Baš razočarenje.,None,None,None,None,Negative,None,Positive
272,Leonardo je odličan. Stvarno mu stoji ta uloga ali film nije opravdao očekivanja.,None,None,Positive,None,Negative,None,None
273,Možda malo više akcije nego što je uobičajeno za zvezdane staze ali sasvim dobar film. Na nivou prethodnog dela.,None,None,None,None,Positive,None,None
274,Ovaj lik što glumi Kana totalno nosi film. Stvarno odličan glumac. Mislio sam da ću ga doživeti kao Šerloka ali skroz je ubedljiv i kao Kan.,None,None,Positive,None,Neutral,None,None
275,Lepo vizuelno odrađeno. Povratak korenima naučne fantastike. Bez nepotrebnih eksplozija i akcija sa naglaskom na priču,None,None,None,None,Positive,None,Positive
276,"Pa i nije tako loše kao što svi pričaju. Uzbudljivo i zabavno, jedino možda više odstupa od knjige.",None,None,None,None,Positive,None,None
277,Pa ovaj film veze nema sa hangover-om. Vidi se da su hteli da uzmu lovu na staru slavu. Najgori deo ubedljivo,None,None,None,None,Negative,None,None
278,Otkud 10 za ovo. I 6 je previše.,None,None,None,None,Negative,None,None
279,Mogu reći da sam prijatno iznenađena. Nisam očekivala previše pogotovo zbog prethodnih filmova o supermenu koji izgledaju mnogo neozbiljno ali ova verzija supermena mi se sviđa :),None,None,None,None,Positive,None,None
280,Očekivao sam bolje. Na početku mnogo sporo a posle previše akcije i uništavanja. Originalni supermen je bio bolji. Imao je šmeka i šarma za razliku od ovog,None,None,None,None,Negative,None,None
281,"Malo bolje od drugog, ali prvi deo je i dalje najbolji.",None,None,None,None,Positive,None,None
282,Ne znam. Milsim da je ovolike pare zaradio na račun avengers-a. I nije mi nešto,None,None,None,None,Negative,None,None
284,Uopšte nije loš. Možda mi je čak i bolji od prvog dela,None,None,None,None,Positive,None,None
285,Užas. Ko ovo gleda leba ti.,None,None,None,None,Negative,None,None
286,"Bože koje s....e. Od ovih ekranizacija bajki u poslednje vreme, prosto ne znaš koja je gora.",None,None,None,None,Negative,None,None
287,Odličan crtić baš me oduševio. Jako lepa animacija i lepa topla priča o sukobu generacija.,Positive,None,None,None,Positive,None,Positive
288,Nije mi baš jasno što ovo tako hvale. Film teško drži pažnju i deluje malo konfuzno. Sve u svemu sporo i ništa posebno.,None,None,None,None,Neutral,None,None
289,Nije mi jasno zašto ovaj film ima ovako visoku ocenu na IMDb. Ništa posebno čak i dosadan pomalo.,None,None,None,None,Negative,None,None
290,Sve je to lepo i šareno ali totalno neinteresantno. Uopšte ne angažuje emocije. Bolje preskočiti.,None,None,None,None,Negative,None,None
291,"Sjajan film, drago mi je što je urađen ovaj ,,prequel'' za ,,Čarobnjaka iz Oza'' i nadam se da će uskoro biti i nastavak...",None,None,None,None,Positive,None,None
292,"Film je baba-roga... Stvarno je odlično odrađen i, verujte mi, služi svrsi...",None,None,None,None,Positive,None,None
293,Najbolji horor film zaslužuje da se rangira najbolje. Bravo za ovo remek delo.,None,None,None,None,Positive,None,None
294,Wow ovo je čudo od filma. Predobar u svakom pogledu.,None,None,None,None,Positive,None,None
295,Radi se o - veoma dobrom filmu.....,None,None,None,None,Positive,None,None
296,Film je tako dobar da sam ga gledala više puta. Verujte nećete se pokajati ako ga pogledate. Film skoro do perfekcije,None,None,None,None,Positive,None,None
297,Bruse nemoj više molim te. Najgori u seriji a nadajmo se i poslednji,None,None,Neutral,None,Negative,None,None
298,"Bolje nego što sam očekivao. Nije klasična komedija, ima i elemenata drame. Prepoznaće se svako ko puni 40 :)",None,None,None,None,Positive,None,None
299,Toliko sam se smorio da nisam mogao da pogledam film do kraja. Stvarno ne znam kako ovo može da bude zanimljivo bilo kome drugom sem amerima.,None,None,None,None,Negative,None,None
300,Joj na šta sam ja izgubio 2 sata života. Čemu ovakvi filmovi. Sve na isti kalup i totalno bez duha.,None,None,None,None,Negative,None,None
301,"Moram priznati očekivao sam više. Trejler je bolji nego film. Ne očekujte ništa originalno, klasičan akcioni film",None,None,None,None,Negative,None,None
302,Filmčina za sva vremena,None,None,None,None,Positive,None,None
303,KULL film :D,None,None,None,None,Positive,None,None
304,Ipak odličan film. Pribojavao sam se što film toliko dugo traje da će biti razvučen ali nijednog momenta se nisam dosađivao. Film ima sve što treba i predstavlja pravo uživanje i za gledanje i za slušanje.,None,None,None,Positive,Positive,None,None
305,Odličan film. Vizuelno raskošan. Poezija za oči. Obavezno pogledati,None,None,None,None,Positive,None,Positive
306,Slažem se sa prethodnikom. Odličan film sa neobičnom temom ali jako lepo realizovan.,None,None,None,None,Positive,None,None
307,Simpatičan film. Pravi dečiji. Šteta da mi nismo imali tako razvijenu tehnologiju..,None,None,None,None,Positive,None,None
308,"Nije me nešto oduševio. Ne znam zašto prave ovako dugačke filmove. Sporo i konfuzno, na kraju ništa posebno. Ne razumem frku oko filma uopšte",None,None,None,None,Negative,None,None
309,"Šta reći... očajna gluma, loši dijalozi, spor film. čisto gubljenje vremena",Negative,None,Negative,None,Negative,None,None
310,Film je odličan. Drži pažnju iako traje više od 2 sata. A Danijel Craig i dalje deluje moćno :),None,None,Positive,None,Positive,None,None
311,Stvarno mi nije jasno šta ljudi vide na ovom liku. Šon Koneri je jedini pravi Bond.,None,None,Negative,None,None,None,None
312,Joj bože koja smaračina. Sve vreme čekam... rekoh to je onaj od sporijih filmova gde se stvari polako kulminiraju u neku eksplozivnu i dramatičnu završnicu. Kad ono prc... Ceo film se ništa zanimljivo ne dešava ... a takav je i kraj.,None,None,None,None,Negative,None,None
313,"Ben Aflek ima nos za dobar film. Možda kao glumac i nije nešto posebno, ali zato zna gde i kad treba da se pojavi. Svaka čast.",None,None,Positive,None,Positive,None,None
314,Ben Aflek je pre svega sjajan glumac i zato je i film dobar. Nadam se da će dobiti još jednog oskara.,None,None,Positive,None,Positive,None,None
315,"Brz tempo, akcija, dosta sexa, odlična gluma i salma hajek kojoj ni godine ne mogu ništa. Oliver Stone je dokazao da još uvek zna da napravi solidan film",None,Positive,Positive,None,Positive,None,None
316,Ovo vredi gledati. Konačno jedan inteligentan naučno fantastični film koji se bavi putovanjem kroz vreme. Levit je skroz uverljiv kao mladi brus vilis. Odlično je skinuo vilisovu gestikulaciju.,None,None,Positive,None,Positive,None,None
317,"Dobro reče Rasha D, ovaj mali Levit je izgleda počeo da se pojavljuje u pravim filmovima. Prvo inception pa batman sad looper. Svaka čast postaje mi jedan od omiljenih likova. Brus vilis je naravno standardno dobar.",None,None,Positive,None,Positive,None,None
318,Drago mi je da ste konačno dodali i ovaj film. Priča je odlična i film zaslužuje da se nađe na listi 20 najboljih.,Positive,None,None,None,Positive,None,None
319,Redak slučaj kada je film bolji od knjige.,None,None,None,None,Positive,None,None
320,"Super mi je ovaj film :) Gledala sam ga 4 puta i opet bih mogla. Romantičan, bajkovit.. taman kako treba :)",None,None,None,None,Positive,None,None
321,ovo je neviđena glupost!!!,None,None,None,None,Negative,None,None
322,Ahahahahaha!!! Da! Ovo ne bi gledali čak ni oni koji se bave plesom :D :D :D,None,None,None,None,Negative,None,None
323,Da nije dela sa Teslom ovo bi bio dobar film. David Bouvi kao Tesla potpuni promašaj,None,None,Negative,None,Neutral,None,None
324,Kraj me je raspametio. Nisam to očekivala.,None,None,None,None,Positive,None,None
325,Koji smor od filma. Prosto mi je neverovatno da je postigao toliku gledanost. Neoriginalna priča tj pokahontas i ples sa vukovima. Gluma ništa posebno tako da ostaju samo efekti.,None,None,Negative,None,Negative,None,Positive
326,"Zaboravite bonda Born je prava stvar. Mat Dejmon vrlo ubedljiv u ulozi Borna, plus odlična mjuza. Defintivno must see.",None,None,Positive,Positive,Positive,None,None
327,"Sviđa mi se što se radnja dešava u evropi. Konačno da amerika nije centar sveta. Akcije ima taman koliko treba, tempo je odličan a Metu je baš baš legla ova uloga.",None,None,Positive,None,Positive,None,None
328,Pre neki dan bio na televiziji i gledao sam ga po peti put. Kad je nešto dobro jednostavno ne može da dosadi. :),None,None,None,None,Positive,None,None
329,"Nije loš, ali sam više očekivala...",None,None,None,None,Neutral,None,None
330,"Simpatičan film, a i akcenat. :)",None,None,None,None,Positive,None,None
331,"Sjajan film. Zabavan, duhovit.. ma Meril Strip je uvek izvanredna :)",None,None,Positive,None,Positive,None,None
332,Moj omiljeni glumac i jedan od njegovih boljih filmova. Savršeno mu leži Dru Barimor :),None,None,Positive,None,Positive,None,None
333,Film je prava klanica. Ko voli samuraje ovo je must see.,None,None,None,None,Positive,None,None
334,Mnogo sam očekivao od ovog filma ali nekako nije ispunio očekivanja. Mat Dejmon je sa svojom trilogijom baš zadao domaći. Od mene samo 7,None,None,Positive,None,Negative,None,None
335,Uopšte nije loš film. Sasvim se lepo uklopio sa ostalim filmovima o bornu i sklopio neke kockice koje su nedostajale. Ima sasvim dovoljno akcije i napetosti. Ne znam šta su ljudi očekivali,None,None,None,None,Positive,None,None
336,Znam da će biti glup film ali čisto zbog ekipe mora da se gleda.,None,None,None,None,Negative,None,None
338,Ne znam šta da kažem o ovom filmu. S jedne strane film je neviđeno glup praktično debilan a sa druge strane imate priliku da vidite sve legende akcionih filmova na jednom mestu :).,None,None,None,None,Neutral,None,None
339,Najbolji Sandlerov film! Odličan soundtrack takođe! A Bilijevo pojavljivanje na kraju filma je epohalno :D,None,None,Positive,Positive,Positive,None,None
340,Još jedna velika uloga Sergeja Trifunovića u trajanju od skoro čitav minut. Čak mi se čini da su ga sinhronizovali :),None,None,Positive,None,None,None,None
341,Sinoć ga pogledao. Ljubiteljima Poa će se svideti atmosfera u filmu ali mi je nekako ostao taj kraj nedorečen,None,None,None,None,Neutral,None,None
342,"Odličan film. Lajam Nison se odlično snašao u ovoj ulozi, iako sam u početku sumnjao da on to može. O režiji da ne govorim, ime govori samo za sebe. Nadam se da će drugi deo biti bar upola tako dobar. :)",None,Positive,Positive,None,Positive,None,None
343,"uuu dobra akcija, nema šta. vredi gledati",None,None,None,None,Positive,None,None
344,Ma ovo je TAKEN. Kako je ovo prevedeno nikad ne bih pogodio šta je u pitanju. Inače odličan Film. Filmčina ...,None,None,None,None,Positive,None,None
345,haha.. slažem se.. kakav glup prevod. nekad je bolje ostaviti originalan naziv. ja bih rekao da je ovo najbolji nisonov film!,None,None,Positive,None,Positive,None,None
346,"Šta ste se uhvatili za prevod. Prevod je sasvim dobar. Ima 96 sati da reši stvar. Film je dobar i vredi ga pogledati, to sigurno. a koga briga za prevod.. msm",None,None,None,None,Positive,None,None
347,"Ovako treba da izgleda akcioni film u kojem i žene mogu da uživaju. Odličan izbor glumaca, odličan zaplet, odlična režija.. ma čista desetka! :)",Positive,Positive,Positive,None,Positive,None,None
348,Šta reći. Ako ste gledali original onda se može reći da ste gledali i ovaj film. Ne znam zašto uopšte prave rimejkove. Jedino su efekti dobri ali to nije dovoljno da opravda gledanje ovog filma,None,None,None,None,Negative,None,Positive
349,Nema boljeg filma,None,None,None,None,Positive,None,None
350,"Sjajan film. Gledala sam ga na Cinemania festivalu u Novom Sadu i sećam se da je bio pravo iznenađenje. Konačno jedan naš film sa dobrim scenarijem, po ugledu na dobre američke trilere. Za svaku preporuku.",Positive,None,None,None,Positive,None,None
351,"slažem se. ovo je jedan od naših boljih novijih filmova. u svakom slučaju daleko bolji od izvikanog montevidea, ali eto.. kod nas se cene samo izvikane stvari..",None,None,None,None,Positive,None,None
352,E svaka čast za post! Odličan film!,None,None,None,None,Positive,None,None
353,E konačno i naši da naprave neki triler. Već mi se smučilo kako se kod nas stalno prave isti filmovi. Kojo standarno dobar,Positive,None,None,None,Positive,None,None
354,Film koji se može gledati i u bioskopu i kod kuće. 3D verzija je odlična.,None,None,None,None,Positive,None,None
355,"Odličan film. Ova trilogija je najzreliji film iz ovog žanra. Nolanu svaka čast, zadao je domaći ostalima.",None,Positive,None,None,Positive,None,None
356,Malo je spor na početku ali kad krene akcija je sasvim kako treba. I kraj filma je pravi :),None,None,None,None,Positive,None,None
357,Odličan film. Možda neće zaraditi kao avengers ali je ovo film za zreliju publiku. Fala bogu da nisu ubacili robina. To bi sve pokvarilo,None,None,None,None,Positive,None,None
